10-Jul,361,508,666,1,7,116,353,998,211,,898,1059,630,235,61,328,475,772,1307,1167,41,67,768,625,1209,1451,229,1978,11,415,123,119,904,1146,152,157,580,684,1258,257,105,1424,5540,769,14444
11-Jul,592,994,684,1,97,205,58,134,250,,605,702,223,87,1312,406,507,7,417,1659,65,56,204,1063,3878,497,536,447,45,197,290,267,2015,792,48,301,1361,1137,3697,859,219,388,6310,70,3497
12-Jul,715,308,1229,3,12,530,17,8,359,,231,1083,1085,44,1734,847,24,313,1254,680,53,50,124,1443,1939,2027,2256,2429,27,583,467,213,923,266,443,52,6,495,130,34,1758,97,504,297,9331
13-Jul,751,298,803,0,0,433,92,1,143,,1847,295,1093,18,268,657,1598,537,683,153,84,105,839,1723,409,502,1828,990,65,264,351,136,660,346,388,243,930,853,2517,255,1958,1313,1781,200,9138
14-Jul,798,351,736,4,0,456,14,115,26,,1321,1019,437,20,347,1173,44,320,215,40,69,61,276,889,3981,363,919,751,40,4,171,400,1523,189,598,312,422,372,1861,1170,143,806,703,3610,10195
15-Jul,970,665,315,0,2,131,72,78,8,,209,1763,296,1,425,1290,13,102,513,319,38,74,437,747,183,1067,1076,495,14,368,322,210,500,1491,160,86,2,551,1901,266,747,2194,607,4445,6338
16-Jul,680,845,645,1,0,97,466,102,176,,207,2019,790,32,338,128,548,366,32,238,36,186,581,1598,148,89,2889,641,24,35,183,1179,489,1692,480,19,453,2239,4062,444,1151,1532,1064,2240,1379
17-Jul,705,634,519,18,7,419,174,320,63,,241,1110,1565,26,489,1372,871,68,288,2165,62,34,959,126,700,638,2674,801,45,320,206,365,825,410,428,80,272,1893,420,359,1171,1556,753,3393,4226
18-Jul,367,642,398,15,218,223,271,149,31,,174,1830,682,293,309,444,1109,112,706,668,52,123,1196,1670,510,2741,3837,455,116,772,332,304,1184,1051,973,326,531,1692,626,1506,1692,784,1079,3774,2712
19-Jul,621,648,652,5,96,204,94,224,54,,920,805,866,370,210,717,20,1039,701,537,65,41,520,288,1336,525,7529,88,1159,23,409,98,1026,535,223,118,117,899,1090,2375,110,177,2634,3855,4061
20-Jul,608,423,777,2,220,215,424,460,507,,964,1734,1360,634,262,1483,450,24,156,40,111,47,2316,3641,183,175,5259,394,1200,150,581,484,1002,1153,379,295,933,685,213,1321,80,3231,5077,1043,5788
21-Jul,356,1197,1841,1,1,85,90,214,457,,740,3743,2041,758,976,752,1075,55,80,1709,74,121,594,1425,224,209,4093,1416,84,255,628,1031,2010,1171,329,323,77,1385,1217,1446,6,312,1390,1521,3636
22-Jul,409,677,799,4,30,1002,147,233,291,,883,1469,2484,377,186,3051,1267,859,721,458,40,367,790,613,94,198,2422,1564,463,330,882,384,1740,798,516,366,13,266,94,2601,43,231,939,2497,539
23-Jul,756,1203,727,1,113,324,261,395,55,14,2210,3841,1233,460,187,1187,1065,534,782,603,53,41,225,1695,116,571,1956,2657,10,308,11,646,589,643,282,543,462,47,7699,1218,213,861,511,9381,399
24-Jul,727,1003,435,0,44,92,202,199,130,124,1908,1493,735,286,708,317,1136,938,174,581,242,31,683,881,1443,654,6318,1480,51,168,0,963,954,2498,541,361,1817,419,1769,435,3665,254,2579,6133,3696
25-Jul,530,497,251,1,92,242,518,492,65,54,568,1865,1335,429,311,724,1631,1088,305,52,110,47,106,1071,2666,388,2893,1411,84,65,1133,1639,1450,1097,220,178,541,1278,34,1375,1679,787,4850,,2719
26-Jul,668,633,667,0,27,592,92,557,467,50,602,7041,1037,417,491,1002,276,614,853,68,34,37,646,748,1591,106,4457,702,532,9,187,401,1659,310,60,102,413,1739,1161,1332,1050,1754,734,926,1177
27-Jul,915,736,272,1,37,622,89,321,254,38,264,1016,639,374,760,249,78,139,1085,53,87,80,522,1140,1235,4194,1504,801,390,151,189,315,518,715,351,192,138,350,499,1295,337,3446,1573,1432,3585
28-Jul,634,319,385,15,49,339,68,334,159,44,54,1233,432,351,118,1100,387,861,599,1057,56,15,602,2557,6155,1019,331,2195,238,294,928,1245,1541,1158,267,,194,1286,2216,988,801,1062,864,3736,6822
29-Jul,737,357,101,42,68,155,143,261,290,5,598,5502,1706,227,679,1319,174,112,1001,1509,307,36,1262,1077,4165,948,1783,1039,112,384,570,580,1797,1817,553,,48,161,3902,1091,693,982,1156,159,8570
30-Jul,378,363,212,46,48,47,192,155,40,24,739,1941,2040,127,614,1685,2610,254,126,2583,41,50,547,365,1195,560,2878,3756,86,332,120,627,1107,944,329,10,354,2426,328,1308,1071,1346,1450,1573,4108
31-Jul,405,404,264,2,34,332,173,129,636,33,703,406,1114,169,157,956,684,1135,592,753,29,26,216,2631,431,2034,2833,1146,220,182,164,358,426,572,364,105,162,834,3980,189,652,2471,,4006,5584
1-Aug,225,303,151,1,47,119,228,48,255,114,982,1134,341,337,542,669,1582,457,680,2523,28,18,416,1786,2260,372,1841,1085,100,38,261,225,720,1063,211,389,138,911,2494,982,1669,2674,,1404,4884
2-Aug,365,263,317,0,101,29,104,176,758,136,186,1906,1432,855,894,643,514,324,100,2321,18,16,161,1275,1006,335,3273,1979,54,588,109,123,1278,874,72,377,33,1178,0,3333,1621,577,2200,4483,3627
3-Aug,1574,153,113,2,168,353,321,183,356,81,1516,689,214,75,558,1090,574,796,909,3364,48,33,656,1307,2090,1121,732,1950,6,54,128,384,760,798,218,346,257,2920,39,1181,2092,978,1217,1621,9655
4-Aug,294,110,165,1,32,20,339,37,913,73,569,3065,2932,151,561,399,653,156,405,1212,36,27,222,4573,578,1491,836,706,113,289,265,346,1666,403,327,390,134,949,177,829,488,480,6599,2681,2008
5-Aug,18,68,179,1,45,509,387,213,891,63,252,1312,306,60,235,1014,1167,672,203,2580,49,7,203,1164,3129,1395,208,1986,34,119,158,237,187,1432,333,389,396,513,103,955,2669,2534,695,3579,2235
6-Aug,293,84,213,4,64,292,151,223,239,58,468,2320,505,597,265,401,260,252,130,1769,60,71,182,1836,3092,780,1890,2012,144,94,989,489,942,780,119,276,251,806,66,1627,1253,494,3361,3533,2731
7-Aug,182,99,307,7,165,191,158,118,733,5,365,1479,840,116,157,542,146,110,189,513,47,11,229,947,788,979,507,903,289,148,41,235,601,564,259,102,944,1034,3134,1737,875,131,1663,4760,6065
8-Aug,256,153,121,3,15,85,252,67,224,6,443,519,721,93,306,929,642,802,484,978,16,46,406,2338,3323,2838,1042,613,312,790,64,716,306,418,112,361,288,1725,37,956,241,2612,775,5225,4049
9-Aug,158,92,130,0,41,272,160,252,54,4,437,222,861,25,523,107,1014,336,151,884,12,4,137,547,184,2210,1536,1934,144,7,122,210,636,387,26,340,636,755,3951,1109,740,1059,308,5512,7818
10-Aug,581,42,83,9,156,76,470,71,479,37,1800,877,487,14,207,351,628,95,531,652,22,12,364,1063,406,3048,950,732,93,1,197,90,88,541,,210,581,855,669,354,410,1024,702,4030,
11-Aug,595,79,31,42,48,133,291,19,346,42,43,851,340,15,184,222,634,68,226,1091,4,5,103,1567,3439,1881,377,1246,99,48,147,641,109,240,,198,457,754,239,51,480,216,1126,3759,
12-Aug,343,55,24,18,32,155,80,54,428,34,203,445,418,26,509,806,231,409,84,563,18,12,93,829,1189,2378,486,83,444,61,37,285,30,412,,231,408,800,346,6,116,1541,1205,524,6603
13-Aug,186,28,25,8,7,82,278,107,264,46,301,910,424,29,310,215,541,199,427,245,7,7,,2416,1305,840,1030,1300,63,101,47,55,401,420,344,465,144,1710,0,793,573,888,987,6362,3314
14-Aug,0,5,61,2,3,82,294,21,229,96,148,661,568,20,378,48,420,120,118,1926,8,1,,1080,289,1633,655,1027,433,95,47,831,131,149,95,69,131,525,1220,848,765,837,624,1057,2798
15-Aug,0,56,36,25,49,35,520,137,229,57,91,287,609,32,314,33,424,167,394,568,206,7,50,1579,247,1131,943,437,114,424,19,851,313,274,49,200,644,1025,30,263,475,367,487,2263,1604
16-Aug,125,47,102,2,8,28,169,93,318,116,593,569,652,569,63,831,366,46,679,1269,23,2,144,2848,686,1667,1488,530,151,10,391,1173,327,219,112,236,132,610,816,1797,131,550,293,1669,1479
17-Aug,146,81,54,2,6,125,451,65,132,61,56,806,274,72,147,314,264,46,604,601,29,47,94,960,411,767,614,1261,145,275,5,834,104,263,13,297,100,1232,304,15,499,591,1093,1051,311
18-Aug,83,50,31,0,6,149,320,140,41,0,,426,280,182,206,335,142,374,785,742,12,246,82,825,741,1173,1962,833,51,257,1084,733,280,113,16,448,88,945,395,725,126,358,469,1747,132
19-Aug,63,45,56,2,5,17,167,35,6,13,,941,1121,81,167,111,286,330,489,369,27,37,81,112,581,1143,1646,537,70,180,388,149,533,332,51,294,223,124,323,13,319,307,190,635,1087
20-Aug,53,24,58,0,7,129,184,90,,37,,108,494,33,119,127,229,234,440,542,46,96,152,1218,843,863,668,771,204,87,82,,202,125,60,57,211,240,346,53,260,305,542,972,1349
21-Aug,44,29,60,0,9,68,177,129,,12,,237,393,77,61,1192,199,317,625,53,14,10,87,440,880,1564,664,560,25,23,29,,185,188,43,206,76,889,734,1941,145,271,83,1434,588
22-Aug,44,63,29,0,6,41,168,58,,38,,303,342,11,564,104,156,30,42,719,84,5,167,303,516,2833,624,655,0,34,71,,116,163,167,54,280,1092,196,57,145,912,196,868,1003
23-Aug,60,5,29,,5,65,49,35,,22,,298,399,55,22,124,324,241,539,283,16,6,123,249,706,1056,704,207,168,33,159,,151,201,59,,333,389,773,35,265,311,184,981,809
